id,category_sub,latitude,longitude,city_part,district,price,price_per_sqm,premise_name,premise_review_count,premise_review_score,acceptanceYear,balconyArea,basinArea,buildingCondition,buildingType,cellarArea,elevator,energyEfficiencyRating,energyPerformanceCertificate,floorArea,floorNumber,floors,furnished,garage,gardenArea,loggiaArea,lowEnergy,objectAge,objectLocation,parking,parkingLots,since,stats,terraceArea,undergroundFloors,usableArea,priceFlagNegotiationCb,nearest_small_shop,nearest_tavern,nearest_candy_shop,nearest_movies,nearest_theater,nearest_vet,nearest_playground,nearest_atm,nearest_post_office,nearest_shop,nearest_school,nearest_bus_public_transport,nearest_medic,nearest_sports,nearest_drugstore,nearest_train,nearest_restaurant,nearest_kindergarten,nearest_tram,nearest_sightseeing,nearest_natural_attraction,nearest_metro,extraArea,sinceMonths,isBasement
property_1606484556_prodej_byt_2_kk_praha-radotin-namesti-osvoboditelu,2+kk,49.9835744,14.3595828,Radotín,Praha 5,7377061.0,153689,TRIO Radotín,,,nan,4.0,,Ve výstavbě,Smíšená,,True,B - Velmi úsporná,č. 264/2020 Sb.,52.0,5,10.0,Ne,False,,,False,nan,Centrum obce,,False,2025-03-07,7906,,4.0,48,False,58.0,41.0,48.0,214.0,2832.0,182.0,64.0,55.0,91.0,4418.0,196.0,171.0,2761.0,430.0,266.0,390.0,139.0,176.0,3818.0,,,,4.0,2,False
property_1855705676_prodej_byt_3_kk_praha-smichov-holeckova,3+kk,50.071957482380164,14.385514928208297,Smíchov,Praha 5,15620850.0,229718,Rezidence Pod Hřebenkou,,,"(50.0, inf]",20.0,,Novostavba,Cihlová,,True,B - Velmi úsporná,č. 264/2020 Sb.,,4,6.0,- vyber vybavení,False,,,False,nan,Klidná část obce,,True,2024-11-05,16490,,2.0,68,False,242.0,1372.0,1202.0,1148.0,244.0,1127.0,313.0,998.0,1068.0,1171.0,203.0,123.0,1123.0,567.0,1127.0,1864.0,132.0,304.0,130.0,2365.0,3569.0,1319.0,0.0,6,False
property_1747345996_prodej_byt_3_kk_praha-stodulky-amforova,3+kk,50.0424040209587,14.32712366875747,Stodůlky,Praha 5,8200000.0,113889,COOLTAINERS,1.0,5.0,nan,,,Velmi dobrý,Panelová,,False,- vyber třídu,Nedefinováno,,5,,- vyber vybavení,False,,,False,nan,- vyber umístění,,False,2025-04-14,2010,,,72,False,256.0,710.0,1421.0,3382.0,723.0,1146.0,109.0,238.0,1070.0,235.0,156.0,204.0,1325.0,245.0,232.0,1601.0,223.0,173.0,2482.0,,2174.0,320.0,0.0,1,False
property_2936451660_prodej_byt_4_kk_praha-vinohrady-polska,4+kk,50.0787412719,14.4460549371,Vinohrady,Praha 2,34300000.0,288235,"SATPO - SATPO management, s.r.o.",6.0,4.5,nan,3.0,,Novostavba,Cihlová,4.0,True,D - Méně úsporná,č. 264/2020 Sb.,140.0,7,,- vyber vybavení,False,,,False,nan,- vyber umístění,,False,2024-07-25,25315,18.0,,119,False,354.0,374.0,406.0,707.0,372.0,106.0,302.0,366.0,526.0,1449.0,219.0,229.0,596.0,268.0,246.0,801.0,178.0,53.0,260.0,3513.0,,241.0,21.0,10,False
property_4024132172_prodej_byt_4_kk_praha-vinohrady-chodska,4+kk,50.0744609405435,14.445875264752,Vinohrady,Praha 2,30800000.0,215385,LEXXUS NORTON a.s.,,,nan,,,Velmi dobrý,Cihlová,,True,G - Mimořádně nehospodárná,Nedefinováno,,2,7.0,- vyber vybavení,False,,,False,nan,- vyber umístění,,False,2025-04-01,3149,,,143,False,260.0,164.0,143.0,869.0,319.0,166.0,174.0,334.0,289.0,1555.0,185.0,259.0,487.0,190.0,229.0,1001.0,197.0,114.0,148.0,3632.0,,224.0,0.0,1,False
property_1896243788_prodej_byt_2_1_praha-krc-sturova,2+1,50.0249321762749,14.4514196149129,Krč,Praha 4,7200000.0,135849,NP reality,,,nan,,,Dobrý,Panelová,,True,C - Úsporná,č. 78/2013 Sb.,53.0,15,17.0,- vyber vybavení,False,,,False,nan,- vyber umístění,,False,2025-04-14,2289,,,53,False,410.0,410.0,720.0,2893.0,1328.0,934.0,334.0,453.0,1257.0,1223.0,575.0,90.0,490.0,183.0,465.0,571.0,591.0,381.0,2344.0,,,1498.0,0.0,1,False
property_2633355852_prodej_byt_2_kk_praha-stodulky-na-vyrovne,2+kk,50.0398736090198,14.31765376522982,Stodůlky,Praha 5,6990000.0,166429,BRONDZ invest,0.0,,nan,6.0,,Novostavba,Smíšená,,False,- vyber třídu,Nedefinováno,,3,,- vyber vybavení,False,,,False,nan,- vyber umístění,1.0,True,2024-11-21,23337,,,42,False,387.0,870.0,1230.0,2674.0,725.0,894.0,301.0,253.0,978.0,253.0,434.0,36.0,2190.0,487.0,606.0,1017.0,253.0,530.0,2651.0,,3134.0,675.0,0.0,6,False
property_3218993740_prodej_byt_2_kk_praha-cakovice-marie-podvalove,2+kk,50.1576962911,14.5191596358,Čakovice,Praha 9,7601642.0,135744,Sekyra Group,0.0,,"(50.0, inf]",4.0,,Projekt,Skeletová,3.0,True,B - Velmi úsporná,č. 264/2020 Sb.,,3,5.0,- vyber vybavení,False,,,True,nan,Klidná část obce,1.0,True,2024-10-02,21765,,1.0,56,False,207.0,1704.0,296.0,2593.0,3339.0,2068.0,68.0,808.0,687.0,312.0,321.0,80.0,3813.0,243.0,1142.0,975.0,168.0,291.0,3947.0,,,3570.0,0.0,7,False
property_3514606156_prodej_byt_1_kk_praha-podoli-u-kublova,1+kk,50.0535035658569,14.4193080875726,Podolí,Praha 4,7295000.0,135093,NEXT REALITY STYLE,10.0,4.5,nan,,,Velmi dobrý,Cihlová,,False,G - Mimořádně nehospodárná,č. 78/2013 Sb.,54.0,4,4.0,Ne,False,,,False,nan,- vyber umístění,,False,2024-08-05,22077,,1.0,54,False,42.0,1683.0,382.0,2350.0,1094.0,597.0,89.0,259.0,1680.0,1336.0,467.0,532.0,1898.0,73.0,960.0,1181.0,482.0,464.0,132.0,4367.0,4291.0,1035.0,0.0,9,False
property_2316636748_prodej_byt_2_1_praha-zabehlice-jablonova,2+1,50.056423579619675,14.500364539698518,Záběhlice,Praha 10,6790000.0,133137,Green Valley Reality,,,"(50.0, inf]",,,Dobrý,Cihlová,3.0,False,C - Úsporná,Nedefinováno,,2,5.0,Ne,False,,,False,nan,Klidná část obce,,False,2025-02-21,10213,,1.0,51,False,190.0,175.0,479.0,938.0,1642.0,648.0,73.0,195.0,264.0,169.0,330.0,65.0,611.0,176.0,594.0,628.0,147.0,180.0,448.0,,1109.0,1259.0,0.0,3,False
