id,y_true,y_pred
property_3323155020_prodej_byt_3_kk_praha-vinohrady-velehradska,11990000.0,11865505.114130095
property_1242157644_prodej_byt_2_kk_praha-zizkov-jeseniova,9118000.0,9648627.245868288
property_3851383372_prodej_byt_1_kk_praha-vinohrady-korunni,5822500.0,6133339.858836868
property_3989135948_prodej_byt_2_kk_praha-radlice-u-divcich-hradu,9350000.0,9313385.225716298
property_4127128924_prodej_byt_1_kk_praha-vinohrady-rimska,5619900.0,6839167.658611301
property_3269612108_prodej_byt_2_kk_praha-nusle-jaromirova,8860000.0,8473619.084005848
property_3091628620_prodej_byt_3_kk_praha-lochkov-ke-slivenci,12533000.0,11813528.799074499
property_628253260_prodej_byt_2_kk_praha-smichov-jindricha-plachty,6900000.0,7080161.105743849
property_2281013836_prodej_byt_2_kk_praha-hlubocepy-wassermannova,8722179.0,8323198.417398313
property_951083596_prodej_byt_3_kk_praha-vysocany-svatosovych,13749999.0,12203318.816063201
property_881656396_prodej_byt_2_kk_praha-mala-strana-ujezd,11995000.0,11247072.894228648
property_815489612_prodej_byt_1_kk_praha-michle-u-plynarny,4690000.0,4852924.119803606
property_3981267532_prodej_byt_4_kk_praha-branik-vekova,8999900.0,9306354.004150823
property_953446988_prodej_byt_3_kk_praha-prosek-veltruska,8797878.0,7469432.072821416
property_2459456076_prodej_byt_1_kk_praha-nusle-druzstevni-ochoz,3800000.0,4404584.669198802
property_3569967692_prodej_byt_2_kk_praha-motol-lekarska,8400000.0,8635003.75090277
property_317858380_prodej_byt_3_1_praha-liben-turnovska,7500000.0,8521087.270994838
property_142541388_prodej_byt_3_kk_praha-chodov-michnova,7250000.0,8069541.229714742
property_715084364_prodej_byt_2_kk_praha-hostivar-golfova,6900000.0,6366774.787597133
property_2241270348_prodej_byt_2_kk_praha-letnany-tupolevova,11200000.0,10434620.36770285
property_1022722636_prodej_byt_3_kk_praha-hlubocepy-wassermannova,12185376.0,12386195.330835287
property_4121625164_prodej_byt_2_kk_praha-praha-9-,9390000.0,7625886.605413389
property_325276236_prodej_byt_2_kk_praha-kyje-breclavska,6999000.0,7244328.582724846
property_4198105676_prodej_byt_3_kk_praha-hostivar-athenska,11200000.0,11311692.80943543
property_2999853644_prodej_byt_2_kk_praha-nove-mesto-klimentska,9990000.0,9756846.550542152
property_1322239052_prodej_byt_3_kk_praha-stodulky-habova,11662650.0,11792951.1168647
property_3169677900_prodej_byt_4_kk_praha-hostivar-berlinska,13750000.0,12709588.455145571
property_3603563084_prodej_byt_2_1_praha-vinohrady-premyslovska,12990000.0,11372074.427804131
property_1985471052_prodej_byt_atypicky_praha-stresovice-na-petynce,11000000.0,13002791.700107023
property_616198732_prodej_byt_2_kk_praha-nove-mesto-opletalova,13853000.0,13379365.600422833
property_2276024908_prodej_byt_4_kk_praha-motol-lekarska,13180000.0,12842929.181774845
property_4050596428_prodej_byt_3_kk_praha-zizkov-jicinska,12950000.0,11862042.199452814
property_406065740_prodej_byt_1_kk_praha-zizkov-na-mokrine,4471921.0,4575608.346443981
property_1368273484_prodej_byt_2_kk_praha-vysocany-na-vybezku,10710000.0,10703444.386188168
property_2200265292_prodej_byt_2_1_praha-stresovice-za-pohorelcem,9600000.0,10317933.97553984
property_470594124_prodej_byt_2_kk_praha-radotin-karlicka,6458638.0,6608018.986000826
property_2276459084_prodej_byt_2_1_praha-michle-pocatecka,9750000.0,9577393.436178237
property_3554730572_prodej_byt_5_kk_praha-hostivar-miranova,13999000.0,13843539.114582941
property_227459660_prodej_byt_2_kk_praha-malesice-akademicka,7480000.0,7351135.882280441
property_1240797772_prodej_byt_2_kk_praha-vysocany-u-lidoveho-domu,8050000.0,8008998.786567815
property_2941739596_prodej_byt_3_1_praha-krc-v-stihlach,6490000.0,7645622.416076075
property_954577484_prodej_byt_1_kk_praha-cakovice-marie-podvalove,5422536.0,5638646.687912613
property_3177337420_prodej_byt_2_1_praha-ruzyne-stochovska,6950000.0,7288872.354407965
property_141562444_prodej_byt_4_kk_praha-chodov-malenicka,9680000.0,10253948.156170776
property_664740428_prodej_byt_2_kk_praha-chodov-ceneticka,5750000.0,5978238.257679725
property_2356458828_prodej_byt_3_kk_praha-stodulky-habova,11702270.0,11822558.740501028
property_2955588172_prodej_byt_1_kk_praha-vinohrady-varsavska,7958000.0,8536431.37588334
property_4210557516_prodej_byt_1_kk_praha-vrsovice-kosicka,3900000.0,3928764.1916999533
property_3639673420_prodej_byt_4_1_praha-nusle-u-druzstva-repo,15225000.0,11883072.493621476
property_1138516556_prodej_byt_2_kk_praha-holesovice-bubenska,10200000.0,10628443.598582385
property_2350744140_prodej_byt_2_kk_praha-hloubetin-waltariho,8864392.0,8878251.438185371
property_644964940_prodej_byt_1_1_praha-nusle-oldrichova,8390000.0,8614162.833444713
property_3254739532_prodej_byt_2_kk_praha-kamyk-smotlachova,8606238.0,8984495.446806004
property_923296332_prodej_byt_2_kk_praha-kamyk-smotlachova,8892238.0,8906092.563856471
property_3314422348_prodej_byt_3_kk_praha-pitkovice-,10190000.0,11026248.660593322
property_1303732812_prodej_byt_1_kk_praha-holesovice-u-mestanskeho-pivovaru,6760000.0,6343992.479051202
property_2795119180_prodej_byt_3_kk_praha-chodov-komarkova,13463803.0,12425855.815034349
property_2058814028_prodej_byt_1_kk_praha-kosire-hlavackova,5843355.0,5801305.696469887
property_2346136140_prodej_byt_2_kk_praha-radotin-namesti-osvoboditelu,7333142.0,7697574.045909497
property_507785804_prodej_byt_2_1_praha-zabehlice-choceradska,7499000.0,7276023.661390194
property_1247695436_prodej_byt_2_1_praha-zabehlice-jasminova,6590000.0,6623884.867889579
property_567026252_prodej_byt_3_kk_praha-praha-spojovaci,10900000.0,10268015.301522113
property_3650630988_prodej_byt_2_kk_praha-hlubocepy-steparska,7550000.0,8217182.288458629
property_429380172_prodej_byt_1_kk_praha-veleslavin-veleslavinska,6800000.0,7486894.505507399
property_386818636_prodej_byt_3_kk_praha-dolni-chabry-kobyliska,10120000.0,9494192.586568471
property_80962124_prodej_byt_2_kk_praha-modrany-mezi-vodami,8232305.0,8482226.47318378
property_260966748_prodej_byt_2_kk_praha-hloubetin-za-cernym-mostem,8990000.0,7284313.476393364
property_2927940172_prodej_byt_3_kk_praha-zbraslav-elisky-premyslovny,12990000.0,9709770.45511135
property_415244876_prodej_byt_3_1_praha-stodulky-borovanskeho,8999000.0,9364882.569199514
property_3332198988_prodej_byt_2_kk_praha-zizkov-malesicka,9097000.0,8552200.550760321
